CoVIC ID,Isotype,Epitope Community (RBD),ADCP,mADCP,ADNP,mADNP,ADCD,ADNKA_CD107a,ADNKA_MIP-1b,FcgR2aR,FcgR3aV,FcgR2b,FcgR3b,FcRn,mFcR2b,mFcR3,mFcR4,(0.5 mg/mL) % survival,(1.5 mg/mL) % survival,IC50_WA1 (ng/mL),IC80_WA1 (ng/mL),IC50_UTMB (ng/mL),IC80_UTMB (ng/mL),IC90_UTMB (ng/mL),neut_cluster
117,IgG1,4.0,0.5664174601940759,-0.7796575296806085,-0.03899649083877668,0.9099913861143712,-0.03443817509017357,-0.04001124763657442,0.474685872367412,0.672755913706956,0.6783015500352026,0.6636672918491938,0.6040417766069177,-0.5177616922661534,-0.47785098732071163,0.1690253866756732,0.4083541999639247,30.0,80.0,-0.5321565924576336,-0.5261883475241015,-0.9693143198075785,-1.2074266933578028,-1.322241472711057,3
118,IgG1,,-1.1011062431264687,-1.0401613048265683,-0.594642588486806,1.0949442046236775,-0.31359336750617567,0.2964852099660458,0.9215970737003595,-1.2678041509046432,-1.2836689649689772,-1.3489435682707365,-0.8805942833343936,-1.6201378528187456,-0.5805652142830974,-0.4858605013538351,-0.8864067138759074,10.0,70.0,0.6740628530238237,0.6104086643038094,0.22567134869330566,0.1717658656182523,0.13608445129985913,1
124,,7.0,1.3839926433974739,0.5330672176379444,0.6087150573458231,1.18544103020071,0.4405912470196216,0.29691320636624974,0.7502043309841127,1.0381093637481589,0.9777824021864749,1.1836269829958,1.1656047234264817,1.1749398933098287,1.6352646155378316,0.9148955739908644,1.2148906280890261,0.0,0.0,-1.1728822097601048,-1.2453067275962664,-0.8252194012637307,-0.8548788989650166,-0.8567989071588057,3
127,IgG1,7.0,-0.4891290611384411,-0.1550412179276491,-0.6136481453388226,0.40181199585926813,-0.2714636087276099,0.01923029891687979,0.6720015338374007,-0.7561311503300902,-0.8022718874990377,-1.1252829804962357,-0.7724493271567043,-1.606791920402299,-0.5813876219267023,-0.6581315997769083,-0.6512106610775508,0.0,0.0,-0.7745017018352388,-0.970128885916922,-0.49138913795389066,-0.7337907988302308,-0.8610091649629129,3
128,IgG1,7.0,-0.9137810680649194,-0.5573421337289916,-0.5851319789079794,-0.24666241853407847,-0.8754455161129413,0.30299072141336725,-0.05774765405447653,-1.3067440815879188,-1.2863517295277223,-1.344563930981162,-0.8802890254294744,-1.6178827209838178,-0.5825012357452092,-0.4028595555951171,-0.9240560424474029,0.0,0.0,1.7202557425065912,1.3163027607562017,-0.23744557148192894,-0.3669790163176537,-0.4345295625326789,1
129,,7.0,0.6703320395588634,-0.06148386837594982,0.13645073352099382,1.199488147779165,0.3258869927455252,0.5005199803851039,1.14468661724459,1.0475012393153011,0.9588220904943456,1.1412309165934649,1.1170997105663658,1.0707150023747474,1.1955320953538306,1.2353988796549382,1.0010027084747843,0.0,0.0,-1.1728822097601048,-1.2157588580691343,-0.5685468090795753,-0.5214281035623209,-0.4833024367590058,3
132,IgG,,0.5832164668598401,-0.2675730836717846,-0.2286661087538742,0.9076112066485951,-0.4062805209145598,0.27892471466828295,0.17666883620698637,0.9470448024747686,0.8075467381642328,0.9957243836480253,0.9070774775827278,0.7676325823993059,0.0915773063955986,0.7313044342518275,0.7468806703550431,,0.0,2.7660732132215697,2.3728067210825534,2.1995721945617484,1.9440340124978701,1.7553941797015862,2
134,IgG,5.0,-1.327670386586178,-0.784016729439751,-0.569445921399194,-0.5275774994769034,-1.1114552808446385,0.0827793944544923,-0.09208506601525103,-1.3229618675073167,-1.2863451425633885,-1.3483735798153897,-0.8803872187106577,-1.6223040634827397,-0.5826549330657576,-0.7530806657365426,-0.8914611587983385,0.0,60.0,0.1948787348701292,0.15607532361640417,0.15675332253925855,-0.09427629442529058,-0.23915432031019557,1
135,IgG,,-0.9465666336088115,0.03605277551878989,-0.5387071197538633,-1.2006162244304934,-1.2177050694301441,0.159082738189834,0.01711971212486997,-1.318706157789084,-1.2856951895733464,-1.3491434345722677,-0.8809087421946593,-1.6204283956874537,-0.5821659396034371,-0.5456603051542085,-0.8332243430123044,0.0,,2.7660732132215697,2.3728067210825534,2.1995721945617484,1.9440340124978701,1.7553941797015862,2
136,IgG,2.0,0.38795777649765156,1.5161195847799083,0.2747903534826581,0.7630349100725876,-0.002806151041950872,0.20758680825083023,0.3037059040215019,0.9304271877799468,0.8117378659529629,1.0190196901764816,0.9574847160554624,0.758156671360092,-0.19978410687027912,0.676770171752172,0.6996147849992347,10.0,,0.47840433690212886,0.34149831994937885,0.3891402979004963,0.3589206322621905,0.333669743585101,1
